koda,ime,priimek,id,rojstno_leto,drzava,klub,status,spol,smuci,prebivalisce
250272,Adrian,Aadalen,219617,2004,Norway,Troegstad Skiklubb,Active,Male,,
8,Morten,Aagheim,2148,1980,Norway,Aga I. L.,Retired,Male,,Lillehammer
166879,Fredrik,Aalien,6573,1993,Norway,Eggedal,Not active,Male,,
128210,Oldrik,Aalst van der,5476,1995,Netherlands,National Team,Not active,Male,,Barneveld
182547,Antti,Aalto,6996,1995,Finland,Kiteen Urheilijat,Active,Male,BWT,Kuopio
22,Asko,Aalto,2650,,Finland,,Retired,Male,,
90321,Jon,Aaraas,4882,1986,Norway,Ready/Kollenhopp,Not active,Male,Fischer,Oslo
245955,Johannes,Aardal,9348,2004,Norway,Joelster IL,Active,Male,,
36,Tom Age,Aarnes,2828,1977,Norway,Kollenhopp,Not active,Male,,
153553,Daniel Haugane,Aas,6213,1990,Norway,Mo Skilag,Not active,Male,,
174871,Nikolai,Aasberg,6733,1998,Norway,Roeykenhopp,Not active,Male,,
49,Otto,Aasen,2213,,Norway,,Retired,Male,,
234873,Sindre,Aasen,8379,1999,Norway,Oddersjaa Ssk,Not active,Male,,
62,Magnus,Aastroem,2768,,Sweden,,Retired,Male,,
188077,Ibraim,Abdukhalilov,7125,1999,Kazakhstan,Almaty Skiclub,Not active,Male,,Almaty
186916,Baysangur,Abdulmuslimov,7101,1990,Russia,Ssg,Not active,Male,,
140,Gebhard,Aberer,2628,,Austria,,Retired,Male,,
139427,Marco,Aberger,5943,1994,Austria,SK Saalfelden,Not active,Male,,
180,Dimitri,Abramow,3852,,Soviet Union,,Retired,Male,,
264063,Alexander,Achleitner,219905,2008,Austria,UVB Hinzenbach,Not active,Male,,
235,Helmut,Ackermann,4060,,Germany,,Retired,Male,,
238,Tim,Ackermann,3737,,Germany,,Retired,Male,,
229900,Samuel,Acosta-pabley,8330,2005,United States Of America,Steamboat Springs winter sports clu,Not active,Male,,
73323,Masahito,Adachi,4413,1976,Japan,,Not active,Male,,
270095,Yuma,Adachi,220033,2006,Japan,,Active,Male,,
272064,Ivan,Adam,220113,2010,Switzerland,Am Bachtel,Not active,Male,,
71834,Giancarlo,Adami,4181,1982,Italy,,Not active,Male,,
196059,Islam,Adbukhalilov,7345,2001,Kazakhstan,Almaty Skiclub,Not active,Male,,
181954,Akram,Adilov,6939,1995,Kazakhstan,Almaty Ski Club,Not active,Male,,Almaty
2286,Riku,Aeyri,3234,,Finland,,Retired,Male,,
360,Dimitri,Afanasenko,3180,1981,Belarus,SC Minsk,Not active,Male,,Minsk
363,Viktor,Afanasjew,4126,,Soviet Union,,Retired,Male,,
243533,,Afghanistan,8854,,Afghanistan,,Not active,Mixed,,
243219,,Afghanistan,8748,,Afghanistan,,Not active,Male,,
243107,,Afghanistan,8636,,Afghanistan,,Not active,Female,,
243907,,Afghanistan i,8978,,Afghanistan,,Not active,Mixed,,
247907,,Afghanistan i,9350,,Afghanistan,,Not active,Male,,
244339,,Afghanistan i,9097,,Afghanistan,,Not active,Female,,
248381,,Afghanistan ii,9817,,Afghanistan,,Not active,Mixed,,
248027,,Afghanistan ii,9465,,Afghanistan,,Not active,Male,,
248142,,Afghanistan ii,9579,,Afghanistan,,Not active,Female,,
248500,,Afghanistan iii,9936,,Afghanistan,,Not active,Mixed,,
244582,,Afghanistan iii,9216,,Afghanistan,,Not active,Male,,
248259,,Afghanistan iii,9696,,Afghanistan,,Not active,Female,,
91415,Roman,Afinogenov,4913,1986,Russia,,Not active,Male,,
420,Jarkko,Ahava,3168,,Finland,,Retired,Male,,
173902,Mikita,Ahibalau,6677,1999,Belarus,Sc Minsk,Not active,Male,,
105657,Alexandra,Ahlborn,5013,1989,Germany,SC Willingen,Not active,Female,,
105240,Ann-Kristin,Ahlers,2959,1993,Germany,SK Winterberg,Not active,Female,,
160927,Rustam,Ahnrtshin,6396,1991,Russia,Moscow Uor-2,Not active,Male,,
